# Voyager1 data from NASA JPL HORIZONS
# Updated through 2026-Aug-16; generated by scripts/update_data.py
# date, x_km, y_km, z_km, vx_km_s, vy_km_s, vz_km_s
$$SOE
1991-Jun-24, -2.454537250348914E+09, -5.109403073544166E+09, 3.712422336532899E+09, -2.300275796278637E+00, -1.427178823206904E+01, 1.030502978360565E+01
1991-Jul-24, -2.460495529353595E+09, -5.146388476021687E+09, 3.739127666786313E+09, -2.297183097365999E+00, -1.426633487267436E+01, 1.030094473866308E+01
1991-Aug-23, -2.466445951173848E+09, -5.183359802090694E+09, 3.765822473883870E+09, -2.294211231305512E+00, -1.426094006804009E+01, 1.029690908231796E+01
1991-Sep-22, -2.472388801406422E+09, -5.220317326119000E+09, 3.792506893638681E+09, -2.291322433479098E+00, -1.425569481256656E+01, 1.029292790913165E+01
1991-Oct-22, -2.478324160866928E+09, -5.257261410162513E+09, 3.819181053068189E+09, -2.288431554270763E+00, -1.425055906980759E+01, 1.028899383031247E+01
1991-Nov-21, -2.484252011515471E+09, -5.294192283224998E+09, 3.845845065830031E+09, -2.285523831922717E+00, -1.424549666360439E+01, 1.028509780221348E+01
1991-Dec-21, -2.490172295403778E+09, -5.331110135714493E+09, 3.872499047190068E+09, -2.282583422627521E+00, -1.424050518952098E+01, 1.028125200899509E+01
1992-Jan-20, -2.496084900154530E+09, -5.368015023604346E+09, 3.899143115480006E+09, -2.279617174048712E+00, -1.423548116627558E+01, 1.027745063056466E+01
1992-Feb-19, -2.501989880846598E+09, -5.404906842167254E+09, 3.925777388880932E+09, -2.276709370619922E+00, -1.423042709993242E+01, 1.027369386197680E+01
1992-Mar-20, -2.507887437427320E+09, -5.441785608648917E+09, 3.952401992349882E+09, -2.273879889893914E+00, -1.422541852282496E+01, 1.026998849980854E+01
1992-Apr-19, -2.513777732505628E+09, -5.478651429782855E+09, 3.979017050764625E+09, -2.271115390601570E+00, -1.422044017504698E+01, 1.026633006199180E+01
1992-May-19, -2.519660958909134E+09, -5.515504432433866E+09, 4.005622684141872E+09, -2.268420540825037E+00, -1.421553394017000E+01, 1.026271531395794E+01
1992-Jun-18, -2.525537234473122E+09, -5.552344850719475E+09, 4.032218998411535E+09, -2.265733921656550E+00, -1.421072446992405E+01, 1.025913769528772E+01
1992-Jul-18, -2.531406514074940E+09, -5.589172832756634E+09, 4.058806088604011E+09, -2.263034082674264E+00, -1.420592899721696E+01, 1.025559923362848E+01
1992-Aug-17, -2.537268831484317E+09, -5.625988386721575E+09, 4.085384060339252E+09, -2.260368537118454E+00, -1.420113535871690E+01, 1.025210191126184E+01
1992-Sep-16, -2.543124303555735E+09, -5.662791546599893E+09, 4.111953017417533E+09, -2.257746265805181E+00, -1.419636408198956E+01, 1.024864298323648E+01
1992-Oct-16, -2.548973058915439E+09, -5.699582334598438E+09, 4.138513064481354E+09, -2.255199625213708E+00, -1.419159600999170E+01, 1.024522799923798E+01
1992-Nov-15, -2.554815342541473E+09, -5.736360841295561E+09, 4.165064316974977E+09, -2.252749740127906E+00, -1.418689917807271E+01, 1.024185642939458E+01
1992-Dec-15, -2.560651333569876E+09, -5.773127335130597E+09, 4.191606878127643E+09, -2.250324206205526E+00, -1.418232230197875E+01, 1.023852060529341E+01
1993-Jan-14, -2.566481015956514E+09, -5.809882052477184E+09, 4.218140840910127E+09, -2.247884919125935E+00, -1.417780954173923E+01, 1.023522220979973E+01
1993-Feb-13, -2.572304347375545E+09, -5.846625139212939E+09, 4.244666300406062E+09, -2.245422332992614E+00, -1.417334369552347E+01, 1.023195888688925E+01
1993-Mar-15, -2.578121234362542E+09, -5.883356680208551E+09, 4.271183340611191E+09, -2.242907207303759E+00, -1.416888315764713E+01, 1.022872579216482E+01
1993-Apr-14, -2.583931597584369E+09, -5.920076561526066E+09, 4.297692048118622E+09, -2.240408493955376E+00, -1.416434848926506E+01, 1.022553032967809E+01
1993-May-14, -2.589735594509265E+09, -5.956784630794507E+09, 4.324192523769344E+09, -2.238003973671286E+00, -1.415978042485403E+01, 1.022237384999194E+01
1993-Jun-13, -2.595533477352631E+09, -5.993480892854877E+09, 4.350684862670689E+09, -2.235683951273848E+00, -1.415523647506943E+01, 1.021925189493360E+01
1993-Jul-13, -2.601325474856474E+09, -6.030165408054502E+09, 4.377169159371088E+09, -2.233466585534221E+00, -1.415072919602394E+01, 1.021616835943886E+01
1993-Aug-12, -2.607111836694614E+09, -6.066838357975250E+09, 4.403645509245457E+09, -2.231327133662038E+00, -1.414632172116022E+01, 1.021311899205952E+01
1993-Sep-11, -2.612892651036488E+09, -6.103500032819982E+09, 4.430113989964203E+09, -2.229171953026912E+00, -1.414201273782591E+01, 1.021009650098748E+01
1993-Oct-11, -2.618667856944536E+09, -6.140150574442944E+09, 4.456574677162037E+09, -2.227004728250125E+00, -1.413772924305776E+01, 1.020710565292179E+01
1993-Nov-10, -2.624437452267165E+09, -6.176790030954222E+09, 4.483027653039059E+09, -2.224846432845866E+00, -1.413346097084761E+01, 1.020414608227580E+01
1993-Dec-10, -2.630201448760484E+09, -6.213418434020755E+09, 4.509472994745900E+09, -2.222686826730050E+00, -1.412918681700369E+01, 1.020121615349519E+01
1994-Jan-09, -2.635959923580752E+09, -6.250035719246946E+09, 4.535910789607446E+09, -2.220594778174253E+00, -1.412489324321011E+01, 1.019832293589842E+01
1994-Feb-08, -2.641713086707583E+09, -6.286641918050240E+09, 4.562341130630767E+09, -2.218584825184116E+00, -1.412064563745223E+01, 1.019546358746517E+01
1994-Mar-10, -2.647461070333827E+09, -6.323237198768382E+09, 4.588764095915254E+09, -2.216591561183322E+00, -1.411645699825472E+01, 1.019263225490597E+01
1994-Apr-09, -2.653203920903647E+09, -6.359821665203968E+09, 4.615179762596590E+09, -2.214622722977951E+00, -1.411230491813665E+01, 1.018983132503918E+01
1994-May-09, -2.658941682540029E+09, -6.396395422274319E+09, 4.641588204341595E+09, -2.212659713731612E+00, -1.410819504476001E+01, 1.018705629290957E+01
1994-Jun-08, -2.664674311983050E+09, -6.432958530654573E+09, 4.667989481942566E+09, -2.210668501318417E+00, -1.410406822313274E+01, 1.018430492106310E+01
1994-Jul-08, -2.670401838152413E+09, -6.469510867902550E+09, 4.694383667760004E+09, -2.208733259668400E+00, -1.409988984422727E+01, 1.018158442794115E+01
1994-Aug-07, -2.676124478643619E+09, -6.506052360218605E+09, 4.720770842231589E+09, -2.206899300447594E+00, -1.409571459739325E+01, 1.017889402409435E+01
1994-Sep-06, -2.681842463051163E+09, -6.542583069426689E+09, 4.747151078854768E+09, -2.205143923552981E+00, -1.409156516631262E+01, 1.017623245713975E+01
1994-Oct-06, -2.687556033206645E+09, -6.579103094849970E+09, 4.773524458635763E+09, -2.203488609155623E+00, -1.408748318239230E+01, 1.017360254099810E+01
1994-Nov-05, -2.693265392502246E+09, -6.615612691120793E+09, 4.799891056885092E+09, -2.201877787950660E+00, -1.408352563958603E+01, 1.017099800401183E+01
1994-Dec-05, -2.698970518641554E+09, -6.652112147590773E+09, 4.826250931104422E+09, -2.200220692202874E+00, -1.407964011967287E+01, 1.016841546922757E+01
1995-Jan-04, -2.704671310002671E+09, -6.688601561872566E+09, 4.852604144200188E+09, -2.198533997466003E+00, -1.407577173416088E+01, 1.016585801865993E+01
1995-Feb-03, -2.710367709409420E+09, -6.725080944869557E+09, 4.878950759275229E+09, -2.196830046716991E+00, -1.407189870184059E+01, 1.016332346347125E+01
1995-Mar-05, -2.716059676228179E+09, -6.761550217998619E+09, 4.905290835449615E+09, -2.195131636669010E+00, -1.406796035674181E+01, 1.016081457202415E+01
1995-Apr-04, -2.721747355666633E+09, -6.798009218649194E+09, 4.931624448272135E+09, -2.193529089647263E+00, -1.406398367718569E+01, 1.015833609859028E+01
1995-May-04, -2.727431025373635E+09, -6.834457948953578E+09, 4.957951672428779E+09, -2.192026931276516E+00, -1.406004844042253E+01, 1.015588341990081E+01
1995-Jun-03, -2.733110870599457E+09, -6.870896535362356E+09, 4.984272569705862E+09, -2.190582320020497E+00, -1.405615286184534E+01, 1.015345535950286E+01
1995-Jul-03, -2.738787052488742E+09, -6.907325102188171E+09, 5.010587205889809E+09, -2.189194260294253E+00, -1.405232092649856E+01, 1.015105160471744E+01
1995-Aug-02, -2.744459663510039E+09, -6.943743838145849E+09, 5.036895636961592E+09, -2.187811858302428E+00, -1.404856419342286E+01, 1.014866604064121E+01
1995-Sep-01, -2.750128655626783E+09, -6.980152841689721E+09, 5.063197909275862E+09, -2.186415596790531E+00, -1.404479884303107E+01, 1.014630128248435E+01
1995-Oct-01, -2.755794085813431E+09, -7.016552061376454E+09, 5.089494084410603E+09, -2.185070872487574E+00, -1.404101828285117E+01, 1.014396160466363E+01
1995-Oct-31, -2.761456124235200E+09, -7.052941511450105E+09, 5.115784225770251E+09, -2.183790541062593E+00, -1.403726580581660E+01, 1.014164466893646E+01
1995-Nov-30, -2.767114915440527E+09, -7.089321253132815E+09, 5.142068393942802E+09, -2.182575911815309E+00, -1.403352974585885E+01, 1.013935395685087E+01
1995-Dec-30, -2.772770664011083E+09, -7.125691390224956E+09, 5.168346659106733E+09, -2.181437947690243E+00, -1.402986307638238E+01, 1.013708920347396E+01
1996-Jan-29, -2.778423499709851E+09, -7.162052164192598E+09, 5.194619079736055E+09, -2.180308155981070E+00, -1.402630144331088E+01, 1.013484277787503E+01
1996-Feb-28, -2.784073356996438E+09, -7.198403755383592E+09, 5.220885701839980E+09, -2.179147146289209E+00, -1.402276859615281E+01, 1.013261595127645E+01
1996-Mar-29, -2.789720189078147E+09, -7.234746196930927E+09, 5.247146577787300E+09, -2.177977404663532E+00, -1.401923718310993E+01, 1.013040883731458E+01
1996-Apr-28, -2.795363987199410E+09, -7.271079476135432E+09, 5.273401754640392E+09, -2.176802314395752E+00, -1.401568990031621E+01, 1.012821814053915E+01
1996-May-28, -2.801004786802656E+09, -7.307403467487556E+09, 5.299651281842876E+09, -2.175684486326848E+00, -1.401207424805841E+01, 1.012605094772291E+01
1996-Jun-27, -2.806642845159461E+09, -7.343718063201691E+09, 5.325895224705076E+09, -2.174692612947644E+00, -1.400845383595065E+01, 1.012390901741710E+01
1996-Jul-27, -2.812278475126583E+09, -7.380023365268102E+09, 5.352133642205184E+09, -2.173796486177241E+00, -1.400490546815683E+01, 1.012178677134566E+01
1996-Aug-26, -2.817911878227452E+09, -7.416319550444374E+09, 5.378366587455947E+09, -2.172977024392846E+00, -1.400142660165827E+01, 1.011968689154530E+01
1996-Sep-25, -2.823543227283580E+09, -7.452606853949012E+09, 5.404594115727884E+09, -2.172203392228984E+00, -1.399805611515337E+01, 1.011760620438405E+01
1996-Oct-25, -2.829172541653847E+09, -7.488885566455965E+09, 5.430816267517579E+09, -2.171391662137415E+00, -1.399478106998464E+01, 1.011553806181889E+01
1996-Nov-24, -2.834799702861285E+09, -7.525155798259357E+09, 5.457033081696862E+09, -2.170553439251240E+00, -1.399150807753013E+01, 1.011348850091210E+01
1996-Dec-24, -2.840424708740347E+09, -7.561417537182935E+09, 5.483244609535054E+09, -2.169736089587686E+00, -1.398823058935073E+01, 1.011145909251100E+01
1997-Jan-23, -2.846047625369788E+09, -7.597670796311077E+09, 5.509450899585230E+09, -2.168939277032018E+00, -1.398495663291282E+01, 1.010944738951747E+01
1997-Feb-22, -2.851668559904749E+09, -7.633915545010460E+09, 5.535652006048442E+09, -2.168216618495624E+00, -1.398167515698787E+01, 1.010745961268518E+01
1997-Mar-24, -2.857287735633670E+09, -7.670151849855649E+09, 5.561847988743124E+09, -2.167578943816493E+00, -1.397845328082879E+01, 1.010549288117620E+01
1997-Apr-23, -2.862905289814885E+09, -7.706379924141340E+09, 5.588038891720971E+09, -2.166953326227889E+00, -1.397531259422763E+01, 1.010354004614470E+01
1997-May-23, -2.868521236676772E+09, -7.742599903554205E+09, 5.614224755540693E+09, -2.166340881933660E+00, -1.397220891249513E+01, 1.010160445709736E+01
1997-Jun-22, -2.874135613469302E+09, -7.778811883620082E+09, 5.640405622441527E+09, -2.165741858485900E+00, -1.396914129751738E+01, 1.009968378370417E+01
1997-Jul-22, -2.879748423614179E+09, -7.815015934823895E+09, 5.666581525971849E+09, -2.165134863847981E+00, -1.396607425535532E+01, 1.009777588844466E+01
1997-Aug-21, -2.885359739829569E+09, -7.851211991427008E+09, 5.692752511097548E+09, -2.164601151475560E+00, -1.396298263700735E+01, 1.009588905730069E+01
1997-Sep-20, -2.890969814248307E+09, -7.887400075042755E+09, 5.718918632989335E+09, -2.164176237003402E+00, -1.395993850918055E+01, 1.009402258810473E+01
1997-Oct-20, -2.896578866721933E+09, -7.923580386728780E+09, 5.745079937471388E+09, -2.163806925403411E+00, -1.395697937900510E+01, 1.009217268925540E+01
1997-Nov-19, -2.902187039104198E+09, -7.959753143403542E+09, 5.771236473221093E+09, -2.163491761081930E+00, -1.395411799094017E+01, 1.009034234897694E+01
1997-Dec-19, -2.907794412260386E+09, -7.995918643965232E+09, 5.797388284880617E+09, -2.163177210566817E+00, -1.395138418235878E+01, 1.008852608777629E+01
1998-Jan-18, -2.913400866811700E+09, -8.032077170575262E+09, 5.823535400305850E+09, -2.162781268305742E+00, -1.394871302992555E+01, 1.008671989717774E+01
1998-Feb-17, -2.919006241652253E+09, -8.068228764539905E+09, 5.849677854301743E+09, -2.162351699079199E+00, -1.394603167887478E+01, 1.008492935740864E+01
1998-Mar-19, -2.924610513385930E+09, -8.104373386296771E+09, 5.875815687672915E+09, -2.161934136292218E+00, -1.394333863540593E+01, 1.008315387756042E+01
1998-Apr-18, -2.930213724115292E+09, -8.140510999283746E+09, 5.901948937388113E+09, -2.161545346752176E+00, -1.394061569678730E+01, 1.008139431165097E+01
1998-May-18, -2.935816055483809E+09, -8.176641547416140E+09, 5.928077653764115E+09, -2.161259390947814E+00, -1.393790182847035E+01, 1.007965553793107E+01
1998-Jun-17, -2.941417776624960E+09, -8.212765165490028E+09, 5.954201885906440E+09, -2.161062333900363E+00, -1.393528292284602E+01, 1.007793256231699E+01
1998-Jul-17, -2.947019007899765E+09, -8.248882125562996E+09, 5.980321666936295E+09, -2.160879956735596E+00, -1.393275459606865E+01, 1.007622212704585E+01
1998-Aug-16, -2.952619787352100E+09, -8.284992641123218E+09, 6.006437033285630E+09, -2.160708388649711E+00, -1.393031129172295E+01, 1.007452559521954E+01
1998-Sep-15, -2.958220105542192E+09, -8.321096933892041E+09, 6.032548016301103E+09, -2.160513687797290E+00, -1.392795182279651E+01, 1.007283870178118E+01
1998-Oct-15, -2.963819849734197E+09, -8.357195140059941E+09, 6.058654639630085E+09, -2.160278695587901E+00, -1.392560014801899E+01, 1.007116368653599E+01
1998-Nov-14, -2.969419019482727E+09, -8.393287249977224E+09, 6.084756944028887E+09, -2.160077171169610E+00, -1.392325409079322E+01, 1.006950630100371E+01
1998-Dec-14, -2.975017734359334E+09, -8.429373346086968E+09, 6.110854973625734E+09, -2.159918752824626E+00, -1.392096947669114E+01, 1.006786396749365E+01
1999-Jan-13, -2.980616050379376E+09, -8.465453590416702E+09, 6.136948765152959E+09, -2.159776255514926E+00, -1.391873553811297E+01, 1.006623750180525E+01
1999-Feb-12, -2.986214035005386E+09, -8.501528143257331E+09, 6.163038362576094E+09, -2.159657656604584E+00, -1.391658333967347E+01, 1.006462702427210E+01
1999-Mar-14, -2.991811692652060E+09, -8.537597255469985E+09, 6.189123799290200E+09, -2.159506321766965E+00, -1.391453543012963E+01, 1.006302539425901E+01
1999-Apr-13, -2.997408854412455E+09, -8.573661103008012E+09, 6.215205095240740E+09, -2.159285261268749E+00, -1.391250719571116E+01, 1.006143341963468E+01
1999-May-13, -3.003005408617072E+09, -8.609719684264025E+09, 6.241282280603211E+09, -2.159044230386887E+00, -1.391046980614533E+01, 1.005985369953270E+01
1999-Jun-12, -3.008601346990434E+09, -8.645772985753134E+09, 6.267355385357210E+09, -2.158806540716283E+00, -1.390843327850189E+01, 1.005828412477310E+01
1999-Jul-12, -3.014196702116547E+09, -8.681820971019262E+09, 6.293424439962940E+09, -2.158612053972712E+00, -1.390637098195316E+01, 1.005673021341809E+01
1999-Aug-11, -3.019791672856728E+09, -8.717863651849253E+09, 6.319489489822157E+09, -2.158510573905569E+00, -1.390435404241341E+01, 1.005519367155017E+01
1999-Sep-10, -3.025386461453604E+09, -8.753901259043276E+09, 6.345550572909645E+09, -2.158452047926415E+00, -1.390246036270515E+01, 1.005366806828327E+01
1999-Oct-10, -3.030981084426427E+09, -8.789934085023575E+09, 6.371607716462984E+09, -2.158384591885205E+00, -1.390066411872939E+01, 1.005215460486766E+01
1999-Nov-09, -3.036575494703846E+09, -8.825962391285448E+09, 6.397660951346180E+09, -2.158281162266487E+00, -1.389897109202166E+01, 1.005065157091728E+01
1999-Dec-09, -3.042169529450318E+09, -8.861986427163235E+09, 6.423710297654189E+09, -2.158081448597247E+00, -1.389735404195146E+01, 1.004915357501614E+01
2000-Jan-08, -3.047762930192512E+09, -8.898006246060747E+09, 6.449755774237339E+09, -2.157809284402591E+00, -1.389571100624726E+01, 1.004766706885347E+01
2000-Feb-07, -3.053355611186808E+09, -8.934021771524149E+09, 6.475797416178360E+09, -2.157535502603758E+00, -1.389404603521227E+01, 1.004619483136153E+01
2000-Mar-08, -3.058947595698664E+09, -8.970033003508419E+09, 6.501835256542416E+09, -2.157265494945958E+00, -1.389239610217930E+01, 1.004473339839976E+01
2000-Apr-07, -3.064538909533285E+09, -9.006039956009016E+09, 6.527869328198715E+09, -2.157027595832389E+00, -1.389075344323779E+01, 1.004328732320250E+01
2000-May-07, -3.070129656741130E+09, -9.042042727691849E+09, 6.553899669091135E+09, -2.156823758686522E+00, -1.388917941522313E+01, 1.004185386994000E+01
2000-Jun-06, -3.075719840894448E+09, -9.078041549539404E+09, 6.579926301646687E+09, -2.156576920568792E+00, -1.388769418207704E+01, 1.004042542958673E+01
2000-Jul-06, -3.081309314099694E+09, -9.114036550581411E+09, 6.605949242922932E+09, -2.156281883653432E+00, -1.388622930159692E+01, 1.003900607539315E+01
2000-Aug-05, -3.086897983001359E+09, -9.150027770430492E+09, 6.631968517095345E+09, -2.155960496994384E+00, -1.388477719692268E+01, 1.003759572068489E+01
2000-Sep-04, -3.092485774574091E+09, -9.186015244402521E+09, 6.657984143682182E+09, -2.155603839517581E+00, -1.388332731555071E+01, 1.003619225386304E+01
2000-Oct-04, -3.098072664603895E+09, -9.221998922751347E+09, 6.683996151189902E+09, -2.155276781453237E+00, -1.388185963628831E+01, 1.003480373735955E+01
2000-Nov-03, -3.103658776115775E+09, -9.257978850730337E+09, 6.710004578747165E+09, -2.155000958943088E+00, -1.388044785863240E+01, 1.003342922467367E+01
2000-Dec-03, -3.109244161044289E+09, -9.293955251009245E+09, 6.736009453940893E+09, -2.154703283960708E+00, -1.387912866842691E+01, 1.003206284119655E+01
2001-Jan-02, -3.114828730303316E+09, -9.329928312628239E+09, 6.762010802483492E+09, -2.154369059925256E+00, -1.387787545917845E+01, 1.003070763635383E+01
2001-Feb-01, -3.120412351134390E+09, -9.365898212877993E+09, 6.788008648768557E+09, -2.153965006943858E+00, -1.387668853229956E+01, 1.002935946878243E+01
2001-Mar-03, -3.125994764817266E+09, -9.401865069532185E+09, 6.814003003226210E+09, -2.153436994433649E+00, -1.387550302054650E+01, 1.002801431393904E+01
2001-Apr-02, -3.131575729167599E+09, -9.437828757786779E+09, 6.839993884256525E+09, -2.152860538003054E+00, -1.387424481844941E+01, 1.002667971971546E+01
2001-May-02, -3.137155212493885E+09, -9.473789111513596E+09, 6.865981320929132E+09, -2.152301200593530E+00, -1.387294092666700E+01, 1.002535611570597E+01
2001-Jun-01, -3.142733262813902E+09, -9.509746061043173E+09, 6.891965337635950E+09, -2.151759018002332E+00, -1.387161234311021E+01, 1.002404204633519E+01
2001-Jul-01, -3.148309991534362E+09, -9.545699560990276E+09, 6.917945967298515E+09, -2.151282600207251E+00, -1.387029417713750E+01, 1.002274218369337E+01
2001-Jul-31, -3.153885549074780E+09, -9.581649740448647E+09, 6.943923241600881E+09, -2.150843447129696E+00, -1.386906292671189E+01, 1.002145148861902E+01
2001-Aug-30, -3.159459905517821E+09, -9.617596843933266E+09, 6.969897174808270E+09, -2.150349715330179E+00, -1.386790497009865E+01, 1.002016511612833E+01
2001-Sep-29, -3.165032918288496E+09, -9.653540991167582E+09, 6.995867784149942E+09, -2.149804896312515E+00, -1.386678060433176E+01, 1.001888645970900E+01
2001-Oct-29, -3.170604447831513E+09, -9.689482253196793E+09, 7.021835087463823E+09, -2.149201431266298E+00, -1.386567913312116E+01, 1.001761329532805E+01
2001-Nov-28, -3.176174309336902E+09, -9.725420632722628E+09, 7.047799097060106E+09, -2.148528976368877E+00, -1.386454105349196E+01, 1.001634697790836E+01
2001-Dec-28, -3.181742432207757E+09, -9.761356002249126E+09, 7.073759841786180E+09, -2.147866612357174E+00, -1.386336517035662E+01, 1.001509407275962E+01
2002-Jan-27, -3.187308874608047E+09, -9.797288339326897E+09, 7.099717354278124E+09, -2.147224701281546E+00, -1.386221334606236E+01, 1.001385155526910E+01
2002-Feb-26, -3.192873617428382E+09, -9.833217722840935E+09, 7.125671655682118E+09, -2.146558323108319E+00, -1.386107802660825E+01, 1.001261757458476E+01
2002-Mar-28, -3.198436622193189E+09, -9.869144193295078E+09, 7.151622771884362E+09, -2.145879211809991E+00, -1.385996960176375E+01, 1.001139308347153E+01
2002-Apr-27, -3.203997815959080E+09, -9.905067843319080E+09, 7.177570720760424E+09, -2.145147958989658E+00, -1.385890152308781E+01, 1.001017206694650E+01
2002-May-27, -3.209556992018880E+09, -9.940988693837269E+09, 7.203515507577808E+09, -2.144333888144761E+00, -1.385779247060081E+01, 1.000895501125689E+01
2002-Jun-26, -3.215114033455114E+09, -9.976906582930624E+09, 7.229457151151765E+09, -2.143509746544636E+00, -1.385661817180999E+01, 1.000774690131799E+01
2002-Jul-26, -3.220668974219798E+09, -1.001282138139075E+10, 7.255395674306237E+09, -2.142709655800770E+00, -1.385541563656413E+01, 1.000654635771939E+01
2002-Aug-25, -3.226221869602581E+09, -1.004873301960327E+10, 7.281331097424219E+09, -2.141944263941273E+00, -1.385418056389568E+01, 1.000535655582835E+01
2002-Sep-24, -3.231772870683599E+09, -1.008464148251030E+10, 7.307263453405762E+09, -2.141244541735229E+00, -1.385297788260128E+01, 1.000417919132445E+01
2002-Oct-24, -3.237322090923845E+09, -1.012054694936750E+10, 7.333192767267412E+09, -2.140549039000606E+00, -1.385187334748334E+01, 1.000300752827904E+01
2002-Nov-23, -3.242869419884397E+09, -1.015644962642052E+10, 7.359119050025557E+09, -2.139787512028918E+00, -1.385081537573846E+01, 1.000184147663893E+01
2002-Dec-23, -3.248414686016365E+09, -1.019234959358315E+10, 7.385042318513916E+09, -2.138954878366387E+00, -1.384977671861060E+01, 1.000068140312353E+01
2003-Jan-22, -3.253957685774824E+09, -1.022824686602924E+10, 7.410962584059856E+09, -2.138030893323875E+00, -1.384872598953186E+01, 9.999523638379738E+00
2003-Feb-21, -3.259498195546692E+09, -1.026414129363796E+10, 7.436879857171507E+09, -2.137054991087767E+00, -1.384757555174625E+01, 9.998374237016733E+00
2003-Mar-23, -3.265036209197093E+09, -1.030003263298955E+10, 7.462794166352879E+09, -2.136114029243733E+00, -1.384635190107189E+01, 9.997236655015485E+00
2003-Apr-22, -3.270571846765725E+09, -1.033592078530775E+10, 7.488705537879826E+09, -2.135211196311531E+00, -1.384512125674274E+01, 9.996106512439264E+00
2003-May-22, -3.276105178780446E+09, -1.037180572653790E+10, 7.514613992075367E+09, -2.134342908060593E+00, -1.384387989711522E+01, 9.994986363663864E+00
2003-Jun-21, -3.281636304687088E+09, -1.040768749190590E+10, 7.540519554000809E+09, -2.133503154054392E+00, -1.384267679445121E+01, 9.993874085696977E+00
2003-Jul-21, -3.287165220709644E+09, -1.044356621911735E+10, 7.566422235031149E+09, -2.132620399605826E+00, -1.384152561358364E+01, 9.992762565507508E+00
2003-Aug-20, -3.292691770754860E+09, -1.047944192872978E+10, 7.592322040530931E+09, -2.131689152893518E+00, -1.384034303509708E+01, 9.991656393512500E+00
2003-Sep-19, -3.298215892882273E+09, -1.051531452365493E+10, 7.618218988209080E+09, -2.130753785614957E+00, -1.383912418124412E+01, 9.990557591338838E+00
2003-Oct-19, -3.303737591878929E+09, -1.055118394166064E+10, 7.644113094416465E+09, -2.129814224542832E+00, -1.383788657362230E+01, 9.989463935407144E+00
2003-Nov-18, -3.309256886703762E+09, -1.058705009466098E+10, 7.670004380324437E+09, -2.128910011868230E+00, -1.383661449628225E+01, 9.988382170059472E+00
2003-Dec-18, -3.314773902124780E+09, -1.062291297736971E+10, 7.695892877041757E+09, -2.128051871790468E+00, -1.383537420283359E+01, 9.987311098947259E+00
2004-Jan-17, -3.320288674494111E+09, -1.065877273920935E+10, 7.721778602780756E+09, -2.127162396490300E+00, -1.383419666017590E+01, 9.986243559061693E+00
2004-Feb-16, -3.325801074233857E+09, -1.069462945692212E+10, 7.747661569848127E+09, -2.126223965030816E+00, -1.383302437311857E+01, 9.985182551036548E+00
2004-Mar-17, -3.331310974042877E+09, -1.073048312739517E+10, 7.773541792970659E+09, -2.125233529857776E+00, -1.383184276918436E+01, 9.984125784935536E+00
2004-Apr-16, -3.336818210360510E+09, -1.076633369044256E+10, 7.799419277074602E+09, -2.124168230500664E+00, -1.383060784167075E+01, 9.983069753668486E+00
2004-May-16, -3.342322674843760E+09, -1.080218090080157E+10, 7.825294034986136E+09, -2.123112167592500E+00, -1.382926165526288E+01, 9.982022936185576E+00
2004-Jun-15, -3.347824491486869E+09, -1.083802453173175E+10, 7.851166093065171E+09, -2.122131470569964E+00, -1.382786026180805E+01, 9.980986164152931E+00
2004-Jul-15, -3.353323839477898E+09, -1.087386453036669E+10, 7.877035471402014E+09, -2.121202310559625E+00, -1.382645530786150E+01, 9.979955718497504E+00
2004-Aug-14, -3.358820868112375E+09, -1.090970089243559E+10, 7.902902192873341E+09, -2.120341510136510E+00, -1.382506737446565E+01, 9.978935738286049E+00
2004-Sep-13, -3.364315718380088E+09, -1.094553374325295E+10, 7.928766279733644E+09, -2.119510666588944E+00, -1.382375462618197E+01, 9.977921589962326E+00
2004-Oct-13, -3.369808341732261E+09, -1.098136328377194E+10, 7.954627737238168E+09, -2.118613674720047E+00, -1.382249338351231E+01, 9.976907594462869E+00
2004-Nov-12, -3.375298570114671E+09, -1.101718953456916E+10, 7.980486573614225E+09, -2.117666587102191E+00, -1.382121378885610E+01, 9.975899182275166E+00
2004-Dec-12, -3.380786304124577E+09, -1.105301242718684E+10, 8.006342803640926E+09, -2.116691666164937E+00, -1.381990449433847E+01, 9.974896033366157E+00
2005-Jan-11, -3.386271462004709E+09, -1.108883186350996E+10, 8.032196438242294E+09, -2.115686357523427E+00, -1.381853328495050E+01, 9.973898103953104E+00
2005-Feb-10, -3.391754065892878E+09, -1.112464765314875E+10, 8.058047501792691E+09, -2.114728153433016E+00, -1.381710205462047E+01, 9.972912050108320E+00
2005-Mar-12, -3.397234267070006E+09, -1.116045972771891E+10, 8.083896022159830E+09, -2.113826353627696E+00, -1.381568055510227E+01, 9.971934379044484E+00
2005-Apr-11, -3.402712127022311E+09, -1.119626814828637E+10, 8.109742012566104E+09, -2.112919455648845E+00, -1.381427147475166E+01, 9.970960834958905E+00
2005-May-11, -3.408187647212197E+09, -1.123207291634409E+10, 8.135585488457300E+09, -2.112018010301414E+00, -1.381286544456174E+01, 9.969993530534190E+00
2005-Jun-10, -3.413660817578589E+09, -1.126787405121029E+10, 8.161426461080280E+09, -2.111098700171730E+00, -1.381146929789615E+01, 9.969028048175902E+00
2005-Jul-10, -3.419131536151659E+09, -1.130367151620422E+10, 8.187264931213387E+09, -2.110136648421344E+00, -1.381001601676155E+01, 9.968064486475830E+00
