$$SOE
1977-Aug-20, 1.280866886426411E+08, -8.062940639599621E+07, -1.209747590415180E+03, 2.149894398757692E+01, 3.700251372952846E+01, 5.213188855804253E+00
1977-Sep-19, 1.558439890063124E+08, 1.503704113212651E+07, 8.089415130579878E+06, 3.470744440175071E+00, 3.778854848185746E+01, 2.855723071873173E+00
1977-Oct-19, 1.491420359112986E+08, 1.084993079280821E+08, 1.446570854587838E+07, -7.643369815741544E+00, 3.358217182328078E+01, 2.057281014565858E+00
1977-Nov-18, 1.210245924055655E+08, 1.877151701226432E+08, 1.886468904228118E+07, -1.331872936102130E+01, 2.757889417171411E+01, 1.372689097103287E+00
1977-Dec-18, 8.283763423419924E+07, 2.522481896448261E+08, 2.176074204092824E+07, -1.578484991683699E+01, 2.240826052006850E+01, 8.919960375583056E-01
1978-Jan-17, 4.049958728167923E+07, 3.048495597565812E+08, 2.361675955814946E+07, -1.671296568498785E+01, 1.834878890674971E+01, 5.599005560703043E-01
1978-Feb-16, -3.181178307261801E+06, 3.481325219495091E+08, 2.474581596563844E+07, -1.690864613925460E+01, 1.517466061133593E+01, 3.240130024389778E-01
1978-Mar-18, -4.684852410893629E+07, 3.840734825696197E+08, 2.535010900735399E+07, -1.674384441698628E+01, 1.264916062351993E+01, 1.506661707098562E-01
1978-Apr-17, -8.982623353863133E+07, 4.141130726769150E+08, 2.556290085284224E+07, -1.639687840177926E+01, 1.059685894665018E+01, 1.927440914921874E-02
1978-May-17, -1.317714019740825E+08, 4.393098345214185E+08, 2.547509763664484E+07, -1.595767657552746E+01, 8.895591576964451E+00, -8.295389260575270E-02
1978-Jun-16, -1.725126325099930E+08, 4.604570064449717E+08, 2.515088513856229E+07, -1.547358167426164E+01, 7.460400149254824E+00, -1.642406215682519E-01
1978-Jul-16, -2.119702018548733E+08, 4.781621817206735E+08, 2.463699488427824E+07, -1.497033126493075E+01, 6.231346977384570E+00, -2.300536240513571E-01
1978-Aug-15, -2.501148714086617E+08, 4.929007824906780E+08, 2.396838433543089E+07, -1.446229460788338E+01, 5.165255932031932E+00, -2.841446019791691E-01
1978-Sep-14, -2.869456063919102E+08, 5.050520070087429E+08, 2.317179275001907E+07, -1.395745684181188E+01, 4.230375028298458E+00, -3.291810558931785E-01
1978-Oct-14, -3.224768781263814E+08, 5.149238359645348E+08, 2.226803434763491E+07, -1.346014488789359E+01, 3.403074960222948E+00, -3.671126243590864E-01
1978-Nov-13, -3.567315354657042E+08, 5.227709911463067E+08, 2.127354444132698E+07, -1.297267491628842E+01, 2.665555974147135E+00, -3.994046226202878E-01
1978-Dec-13, -3.897366771104228E+08, 5.288079570251215E+08, 2.020138986170995E+07, -1.249611751651617E+01, 2.004403398351839E+00, -4.272126307039866E-01
1979-Jan-12, -4.215211809441168E+08, 5.332192840627300E+08, 1.906191906344596E+07, -1.203087125302913E+01, 1.409861341598476E+00, -4.514935313273808E-01
1979-Feb-11, -4.521146635383814E+08, 5.361685484391022E+08, 1.786314124258080E+07, -1.157714109176539E+01, 8.754838933891960E-01, -4.731219836363826E-01
1979-Mar-13, -4.815471880711783E+08, 5.378075159841841E+08, 1.661071250442836E+07, -1.113511783803076E+01, 3.988810777994279E-01, -4.930777258250037E-01
1979-Apr-12, -5.098498162085601E+08, 5.382902953926431E+08, 1.530723773518667E+07, -1.070555262144440E+01, -1.470801432956440E-02, -5.128392589690702E-01
1979-May-12, -5.370582429553382E+08, 5.378072693953249E+08, 1.394956336967164E+07, -1.029191864583931E+01, -3.379074893015140E-01, -5.358235719599305E-01
1979-Jun-11, -5.632329628871307E+08, 5.367257005171089E+08, 1.251589657852647E+07, -9.916850601862317E+00, -4.229059218083575E-01, -5.765658378799647E-01
1979-Jul-11, -5.921161964510999E+08, 5.372191288827908E+08, 1.103378049103513E+07, -2.216551143889085E+01, -9.607779715471850E+00, 1.143244931115799E+00
1979-Aug-10, -6.378309261234126E+08, 5.092915347754560E+08, 1.352894759565309E+07, -1.659025914248603E+01, -1.094465493113514E+01, 9.043774636173971E-01
1979-Sep-09, -6.798745028427358E+08, 4.805767367152432E+08, 1.582789471836743E+07, -1.590616544585075E+01, -1.121185590710579E+01, 8.735547887812607E-01
1979-Oct-09, -7.204246646677830E+08, 4.511824125965571E+08, 1.806729186597997E+07, -1.539577888969818E+01, -1.146512233105600E+01, 8.552810255952785E-01
1979-Nov-08, -7.597303982431053E+08, 4.211637809197806E+08, 2.026443985506025E+07, -1.493850907681107E+01, -1.169289181761670E+01, 8.403637670736259E-01
1979-Dec-08, -7.978891602320915E+08, 3.905899671351869E+08, 2.242480874096352E+07, -1.450862469814669E+01, -1.189351655546847E+01, 8.267235522460838E-01
1980-Jan-07, -8.349597402042334E+08, 3.595306040851609E+08, 2.455068819812024E+07, -1.409813317313103E+01, -1.206777166733483E+01, 8.136888617843678E-01
1980-Feb-06, -8.709881381008576E+08, 3.280519818178689E+08, 2.664327630737540E+07, -1.370419429344154E+01, -1.221733291880897E+01, 8.010114336158716E-01
1980-Mar-07, -9.060156037513200E+08, 2.962155752728146E+08, 2.870335581366949E+07, -1.332568915515674E+01, -1.234417141616302E+01, 7.885962673451350E-01
1980-Apr-06, -9.400814768060440E+08, 2.640777377062251E+08, 3.073156950898363E+07, -1.296219433520085E+01, -1.245025315296678E+01, 7.764242125155301E-01
1980-May-06, -9.732244542398473E+08, 2.316896442336466E+08, 3.272855497802678E+07, -1.261355653911812E+01, -1.253760580442031E+01, 7.645025427401473E-01
1980-Jun-05, -1.005482842118909E+09, 1.990972452923267E+08, 3.469497702450591E+07, -1.227960111424449E+01, -1.260821240709443E+01, 7.528437310513638E-01
1980-Jul-05, -1.036894426707335E+09, 1.663415636919067E+08, 3.663154459694583E+07, -1.196012789513987E+01, -1.266389913181768E+01, 7.414704825525549E-01
1980-Aug-04, -1.067496417252618E+09, 1.334589464949788E+08, 3.853901965655468E+07, -1.165485577644805E+01, -1.270644024389905E+01, 7.303975323249006E-01
1980-Sep-03, -1.097325091626353E+09, 1.004813302841038E+08, 4.041818833173158E+07, -1.136334858465068E+01, -1.273744372202917E+01, 7.196300042207806E-01
1980-Oct-03, -1.126415528265057E+09, 6.743682874853282E+07, 4.226985669316306E+07, -1.108515890235523E+01, -1.275827144076766E+01, 7.091799258984741E-01
1980-Nov-02, -1.154801669217444E+09, 3.435014860155381E+07, 4.409485619086579E+07, -1.081983363920450E+01, -1.277018726914329E+01, 6.990527730782157E-01
1980-Dec-02, -1.182516234759915E+09, 1.242905339264354E+06, 4.589402500452523E+07, -1.056688734016389E+01, -1.277430222678736E+01, 6.892497212267195E-01
1981-Jan-01, -1.209590788604217E+09, -3.186592250616787E+07, 4.766821781812613E+07, -1.032594520944313E+01, -1.277157559007085E+01, 6.797827897108055E-01
1981-Jan-31, -1.236056025534906E+09, -6.495987300347783E+07, 4.941831451190664E+07, -1.009668417824970E+01, -1.276298244213507E+01, 6.706576784953429E-01
